FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RI;RM;24422_moneybookerspsp_cc;8a83948e3c6ce409013c9dd2efcb028f;6888.4195.7650;USD;US ;2013-02-03;2013-02-03 02:11:52;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98379_moneybookerspsp_cc;8a8394853c6ce22e013c9dee41bb57ef;1576.0819.0226;USD;US ;2013-02-03;2013-02-03 02:41:42;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98379_moneybookerspsp_cc;8a8394853c6ce22e013c9dee423557fa;9822.4191.1058;USD;US ;2013-02-03;2013-02-03 02:41:42;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98379_moneybookerspsp_cc;8a8394853c6ce22e013c9dee42da57ff;4324.8609.7170;USD;US ;2013-02-03;2013-02-03 02:41:43;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24424_moneybookerspsp_cc;8a8394833c6ce22c013c9dee7f977d90;5680.4600.2450;USD;US ;2013-02-03;2013-02-03 02:41:58;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98379_moneybookerspsp_cc;8a8394833c6ce22c013c9deefc1f7d96;0182.9018.8562;USD;US ;2013-02-03;2013-02-03 02:42:30;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98379_moneybookerspsp_cc;8a8394833c6ce22c013c9deefd407da6;2931.6809.5506;USD;US ;2013-02-03;2013-02-03 02:42:30;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98379_moneybookerspsp_cc;8a8394833c6ce22c013c9deefc7c7da1;8429.2390.9394;USD;US ;2013-02-03;2013-02-03 02:42:30;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24425_moneybookerspsp_cc;8a8394893c6ce234013c9def3b2435dc;7801.1001.2690;USD;US ;2013-02-03;2013-02-03 02:42:46;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24426_moneybookerspsp_cc;8a8394873c6ce230013c9df06a4073ab;8665.4622.9522;USD;US ;2013-02-03;2013-02-03 02:44:04;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24427_moneybookerspsp_cc;8a8394903c6ce40e013c9df09f7a7a14;2585.3992.1682;USD;US ;2013-02-03;2013-02-03 02:44:17;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
